WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,1st Round,3,Parks A.,Anisimova A.,82.0,36.0,841.0,1461.0,2.0,6.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,3.4,1.33,3.39,1.35,3.4,1.39,3.17,1.34
1,Auckland,ASB Classic,2024-12-31,WTA250,Outdoor,Hard,2nd Round,3,Pera B.,Marino R.,71.0,102.0,896.0,756.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,1.8,2.0,1.71,2.22,1.84,2.22,1.76,2.05
1,Auckland,ASB Classic,2025-01-01,WTA250,Outdoor,Hard,2nd Round,3,Osaka N.,Grabher J.,57.0,470.0,1014.0,112.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.04,13.0,1.04,15.14,1.05,15.14,1.04,11.03
1,Auckland,ASB Classic,2025-01-01,WTA250,Outdoor,Hard,2nd Round,3,Tauson C.,Kenin S.,50.0,81.0,1070.0,848.0,4.0,6.0,7.0,6.0,7.0,6.0,2.0,1.0,Completed,1.67,2.2,1.74,2.19,1.74,2.2,1.7,2.14
1,Auckland,ASB Classic,2025-01-01,WTA250,Outdoor,Hard,2nd Round,3,Volynets K.,Li A.,58.0,96.0,991.0,787.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.73,2.1,1.78,2.13,1.8,2.15,1.74,2.08
1,Auckland,ASB Classic,2025-01-02,WTA250,Outdoor,Hard,2nd Round,3,Keys M.,Cristian J.,21.0,85.0,2126.0,832.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,1.14,5.5,1.19,5.14,1.2,5.5,1.17,4.87
1,Auckland,ASB Classic,2025-01-02,WTA250,Outdoor,Hard,2nd Round,3,Montgomery R.,Hibino N.,117.0,145.0,639.0,496.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.73,2.1,1.73,2.19,1.75,2.24,1.7,2.13
1,Auckland,ASB Classic,2025-01-02,WTA250,Outdoor,Hard,2nd Round,3,Parks A.,Minnen G.,82.0,95.0,841.0,791.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.91,1.91,1.97,1.9,2.0,2.01,1.9,1.88
1,Auckland,ASB Classic,2025-01-02,WTA250,Outdoor,Hard,2nd Round,3,Baptiste H.,Burrage J.,92.0,179.0,805.0,398.0,5.0,7.0,7.0,5.0,7.0,6.0,2.0,1.0,Completed,1.5,2.63,1.55,2.57,1.58,2.63,1.54,2.47
1,Auckland,ASB Classic,2025-01-02,WTA250,Outdoor,Hard,Quarterfinals,3,Montgomery R.,Pera B.,117.0,71.0,639.0,896.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,2.1,1.73,2.15,1.79,2.23,1.79,2.14,1.7
1,Auckland,ASB Classic,2025-01-03,WTA250,Outdoor,Hard,Quarterfinals,3,Osaka N.,Baptiste H.,57.0,92.0,1014.0,805.0,6.0,7.0,6.0,1.0,6.0,2.0,2.0,1.0,Completed,1.22,4.0,1.27,4.14,1.27,4.25,1.24,3.94
1,Auckland,ASB Classic,2025-01-03,WTA250,Outdoor,Hard,Quarterfinals,3,Tauson C.,Keys M.,50.0,21.0,1070.0,2126.0,6.0,4.0,7.0,6.0,,,2.0,0.0,Completed,3.2,1.36,3.47,1.36,3.47,1.36,3.25,1.33
1,Auckland,ASB Classic,2025-01-03,WTA250,Outdoor,Hard,Quarterfinals,3,Parks A.,Volynets K.,82.0,58.0,841.0,991.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,2.0,1.8,2.05,1.86,2.1,1.86,2.03,1.78
1,Auckland,ASB Classic,2025-01-04,WTA250,Outdoor,Hard,Semifinals,3,Tauson C.,Montgomery R.,50.0,117.0,1070.0,639.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.44,2.75,1.41,3.1,1.5,3.1,1.44,2.73
1,Auckland,ASB Classic,2025-01-04,WTA250,Outdoor,Hard,Semifinals,3,Osaka N.,Parks A.,57.0,82.0,1014.0,841.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.22,4.33,1.23,4.57,1.3,4.57,1.22,4.18
1,Auckland,ASB Classic,2025-01-05,WTA250,Outdoor,Hard,The Final,3,Tauson C.,Osaka N.,50.0,57.0,1070.0,1014.0,4.0,6.0,,,,,0.0,1.0,Retired,2.75,1.44,2.71,1.53,2.79,1.53,2.71,1.46
2,Brisbane,Brisbane International,2024-12-29,WTA500,Outdoor,Hard,1st Round,3,Lamens S.,Rakhimova K.,87.0,60.0,821.0,987.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.8,2.0,1.87,2.0,1.89,2.02,1.82,1.98
2,Brisbane,Brisbane International,2024-12-29,WTA500,Outdoor,Hard,1st Round,3,Krueger A.,Uchijima M.,64.0,62.0,969.0,981.0,6.0,3.0,1.0,6.0,6.0,3.0,2.0,1.0,Completed,1.3,3.5,1.31,3.7,1.33,3.7,1.3,3.48
2,Brisbane,Brisbane International,2024-12-29,WTA500,Outdoor,Hard,1st Round,3,Joint M.,Inglis M.,116.0,154.0,645.0,471.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.67,2.2,1.65,2.34,1.68,2.35,1.62,2.28
2,Brisbane,Brisbane International,2024-12-29,WTA500,Outdoor,Hard,1st Round,3,Zarazua R.,Tomova V.,75.0,53.0,882.0,1047.0,6.0,0.0,6.0,3.0,,,2.0,0.0,Completed,1.67,2.2,1.72,2.21,1.74,2.29,1.67,2.17
2,Brisbane,Brisbane International,2024-12-29,WTA500,Outdoor,Hard,1st Round,3,Avanesyan E.,Sramkova R.,43.0,46.0,1182.0,1166.0,1.0,6.0,6.0,2.0,6.0,2.0,2.0,1.0,Completed,2.0,1.8,2.08,1.81,2.1,1.81,2.03,1.77
2,Brisbane,Brisbane International,2024-12-29,WTA500,Outdoor,Hard,1st Round,3,Blinkova A.,Bejlek S.,77.0,161.0,866.0,441.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,2.2,1.67,2.29,1.68,2.29,1.73,2.19,1.67
2,Brisbane,Brisbane International,2024-12-29,WTA500,Outdoor,Hard,1st Round,3,Bouzkova M.,Gibson T.,44.0,148.0,1178.0,487.0,7.0,6.0,3.0,6.0,6.0,3.0,2.0,1.0,Completed,1.2,4.5,1.23,4.56,1.23,4.56,1.2,4.37
2,Brisbane,Brisbane International,2024-12-29,WTA500,Outdoor,Hard,1st Round,3,Kessler M.,Linette M.,67.0,38.0,924.0,1376.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,2.2,1.67,2.12,1.78,2.3,1.81,2.15,1.68
2,Brisbane,Brisbane International,2024-12-30,WTA500,Outdoor,Hard,1st Round,3,Birrell K.,Hon P.,113.0,167.0,654.0,427.0,3.0,6.0,7.0,5.0,6.0,2.0,2.0,1.0,Completed,2.0,1.8,1.99,1.88,2.02,1.88,1.97,1.83
2,Brisbane,Brisbane International,2024-12-30,WTA500,Outdoor,Hard,1st Round,3,Stearns P.,Kudermetova V.,47.0,72.0,1139.0,888.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.91,1.91,1.99,1.88,1.99,1.92,1.9,1.88
2,Brisbane,Brisbane International,2024-12-30,WTA500,Outdoor,Hard,1st Round,3,Kalinina A.,Wang Y.,55.0,61.0,1030.0,983.0,6.0,4.0,2.0,0.0,,,1.0,0.0,Retired,2.1,1.73,2.14,1.77,2.14,1.77,2.08,1.73
2,Brisbane,Brisbane International,2024-12-30,WTA500,Outdoor,Hard,1st Round,3,Kudermetova P.,Wang Xin.,107.0,37.0,701.0,1418.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,2.1,1.73,2.14,1.77,2.22,1.77,2.1,1.7
2,Brisbane,Brisbane International,2024-12-30,WTA500,Outdoor,Hard,1st Round,3,Todoni A.,Bucsa C.,118.0,103.0,635.0,755.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.4,3.0,1.39,3.16,1.41,3.16,1.37,2.99
2,Brisbane,Brisbane International,2024-12-30,WTA500,Outdoor,Hard,1st Round,3,Yuan Y.,Rus A.,49.0,76.0,1082.0,871.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.57,2.38,1.6,2.44,1.62,2.44,1.57,2.36
2,Brisbane,Brisbane International,2024-12-30,WTA500,Outdoor,Hard,1st Round,3,Potapova A.,Bogdan A.,35.0,114.0,1482.0,653.0,2.0,6.0,6.0,4.0,2.0,0.0,1.0,1.0,Retired,1.91,1.91,1.99,1.88,1.99,1.91,1.92,1.85
2,Brisbane,Brisbane International,2024-12-30,WTA500,Outdoor,Hard,1st Round,3,Jabeur O.,Zheng S.,42.0,692.0,1226.0,49.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,1.07,9.0,1.11,7.6,1.11,9.22,1.08,7.77
2,Brisbane,Brisbane International,2024-12-31,WTA500,Outdoor,Hard,2nd Round,3,Avanesyan E.,Badosa P.,43.0,12.0,1182.0,2908.0,6.0,3.0,1.0,6.0,6.0,2.0,2.0,1.0,Completed,4.33,1.22,3.88,1.29,4.34,1.32,3.87,1.25
2,Brisbane,Brisbane International,2024-12-31,WTA500,Outdoor,Hard,2nd Round,3,Putintseva Y.,Kessler M.,29.0,67.0,1844.0,924.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.44,2.75,1.44,2.93,1.46,3.0,1.42,2.8
2,Brisbane,Brisbane International,2024-12-31,WTA500,Outdoor,Hard,2nd Round,3,Krueger A.,Kalinskaya A.,64.0,14.0,969.0,2743.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,2.3,1.62,2.36,1.64,2.43,1.65,2.28,1.6
2,Brisbane,Brisbane International,2024-12-31,WTA500,Outdoor,Hard,2nd Round,3,Sabalenka A.,Zarazua R.,1.0,75.0,9416.0,882.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,1.02,19.0,1.04,15.53,1.04,19.0,1.02,13.47
2,Brisbane,Brisbane International,2024-12-31,WTA500,Outdoor,Hard,2nd Round,3,Andreeva M.,Blinkova A.,16.0,77.0,2578.0,866.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.2,4.5,1.24,4.46,1.24,4.6,1.21,4.37
2,Brisbane,Brisbane International,2024-12-31,WTA500,Outdoor,Hard,2nd Round,3,Bouzkova M.,Ostapenko J.,44.0,15.0,1178.0,2588.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,1.62,2.3,1.58,2.49,1.7,2.5,1.58,2.34
2,Brisbane,Brisbane International,2024-12-31,WTA500,Outdoor,Hard,2nd Round,3,Jabeur O.,Alexandrova E.,42.0,28.0,1226.0,1848.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,2.0,1.8,2.08,1.81,2.08,1.91,1.95,1.83
2,Brisbane,Brisbane International,2024-12-31,WTA500,Outdoor,Hard,2nd Round,3,Kalinina A.,Shnaider D.,55.0,13.0,1030.0,2895.0,6.0,3.0,4.0,6.0,6.0,1.0,2.0,1.0,Completed,5.0,1.17,5.75,1.16,5.75,1.2,5.0,1.16
2,Brisbane,Brisbane International,2025-01-01,WTA500,Outdoor,Hard,2nd Round,3,Birrell K.,Navarro E.,113.0,8.0,654.0,3589.0,7.0,5.0,7.0,5.0,,,2.0,0.0,Completed,5.0,1.17,4.77,1.21,5.5,1.22,4.72,1.19
2,Brisbane,Brisbane International,2025-01-01,WTA500,Outdoor,Hard,2nd Round,3,Kudermetova P.,Samsonova L.,107.0,27.0,701.0,1885.0,6.0,7.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,2.3,1.62,2.29,1.68,2.32,1.68,2.25,1.64
2,Brisbane,Brisbane International,2025-01-01,WTA500,Outdoor,Hard,2nd Round,3,Kasatkina D.,Stearns P.,9.0,47.0,3368.0,1139.0,7.0,6.0,4.0,6.0,7.0,5.0,2.0,1.0,Completed,1.73,2.1,1.77,2.13,1.8,2.13,1.75,2.07
2,Brisbane,Brisbane International,2025-01-01,WTA500,Outdoor,Hard,2nd Round,3,Potapova A.,Yastremska D.,35.0,33.0,1482.0,1565.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.53,2.5,1.56,2.54,1.59,2.6,1.54,2.46
2,Brisbane,Brisbane International,2025-01-01,WTA500,Outdoor,Hard,2nd Round,3,Lamens S.,Frech M.,87.0,25.0,821.0,1928.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,2.38,1.57,2.32,1.66,2.4,1.73,2.29,1.6
2,Brisbane,Brisbane International,2025-01-01,WTA500,Outdoor,Hard,2nd Round,3,Yuan Y.,Kostyuk M.,49.0,18.0,1082.0,2493.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,2.75,1.44,2.52,1.57,2.75,1.6,2.59,1.49
2,Brisbane,Brisbane International,2025-01-01,WTA500,Outdoor,Hard,2nd Round,3,Azarenka V.,Joint M.,20.0,116.0,2127.0,645.0,6.0,7.0,6.0,2.0,6.0,4.0,2.0,1.0,Completed,1.36,3.2,1.42,3.04,1.44,3.2,1.38,2.98
2,Brisbane,Brisbane International,2025-01-01,WTA500,Outdoor,Hard,2nd Round,3,Noskova L.,Todoni A.,26.0,118.0,1913.0,635.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.4,3.0,1.48,2.79,1.48,3.2,1.43,2.77
2,Brisbane,Brisbane International,2025-01-02,WTA500,Outdoor,Hard,3rd Round,3,Birrell K.,Potapova A.,113.0,35.0,654.0,1482.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,2.63,1.5,2.55,1.57,2.75,1.57,2.52,1.51
2,Brisbane,Brisbane International,2025-01-02,WTA500,Outdoor,Hard,3rd Round,3,Krueger A.,Lamens S.,64.0,87.0,969.0,821.0,7.0,5.0,6.0,0.0,,,2.0,0.0,Completed,1.57,2.38,1.64,2.38,1.64,2.44,1.57,2.35
2,Brisbane,Brisbane International,2025-01-02,WTA500,Outdoor,Hard,3rd Round,3,Kudermetova P.,Kasatkina D.,107.0,9.0,701.0,3368.0,1.0,6.0,6.0,2.0,7.0,5.0,2.0,1.0,Completed,2.5,1.53,2.51,1.58,2.51,1.62,2.43,1.54
2,Brisbane,Brisbane International,2025-01-02,WTA500,Outdoor,Hard,3rd Round,3,Kalinina A.,Yuan Y.,55.0,49.0,1030.0,1082.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,2.2,1.67,2.22,1.73,2.25,1.73,2.17,1.67
2,Brisbane,Brisbane International,2025-01-02,WTA500,Outdoor,Hard,3rd Round,3,Andreeva M.,Noskova L.,16.0,26.0,2578.0,1913.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,1.57,2.38,1.57,2.54,1.61,2.54,1.56,2.37
2,Brisbane,Brisbane International,2025-01-02,WTA500,Outdoor,Hard,3rd Round,3,Jabeur O.,Avanesyan E.,42.0,43.0,1226.0,1182.0,6.0,4.0,1.0,6.0,6.0,4.0,2.0,1.0,Completed,1.67,2.2,1.77,2.16,1.81,2.2,1.7,2.13
2,Brisbane,Brisbane International,2025-01-02,WTA500,Outdoor,Hard,3rd Round,3,Bouzkova M.,Azarenka V.,44.0,20.0,1178.0,2127.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,2.2,1.67,2.17,1.76,2.25,1.76,2.13,1.69
2,Brisbane,Brisbane International,2025-01-02,WTA500,Outdoor,Hard,3rd Round,3,Sabalenka A.,Putintseva Y.,1.0,29.0,9416.0,1844.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,1.13,6.0,1.17,5.74,1.17,7.0,1.14,5.55
2,Brisbane,Brisbane International,2025-01-03,WTA500,Outdoor,Hard,Quarterfinals,3,Kalinina A.,Birrell K.,55.0,113.0,1030.0,654.0,4.0,6.0,6.0,1.0,7.0,5.0,2.0,1.0,Completed,1.73,2.1,1.74,2.23,1.74,2.23,1.71,2.14
2,Brisbane,Brisbane International,2025-01-03,WTA500,Outdoor,Hard,Quarterfinals,3,Andreeva M.,Jabeur O.,16.0,42.0,2578.0,1226.0,6.0,4.0,7.0,6.0,,,2.0,0.0,Completed,1.3,3.5,1.29,4.02,1.31,4.02,1.29,3.61
2,Brisbane,Brisbane International,2025-01-03,WTA500,Outdoor,Hard,Quarterfinals,3,Kudermetova P.,Krueger A.,107.0,64.0,701.0,969.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,2.38,1.57,2.64,1.55,2.64,1.65,2.37,1.57
2,Brisbane,Brisbane International,2025-01-03,WTA500,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Bouzkova M.,1.0,44.0,9416.0,1178.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.1,7.0,1.1,8.69,1.11,8.69,1.1,6.94
2,Brisbane,Brisbane International,2025-01-04,WTA500,Outdoor,Hard,Semifinals,3,Kudermetova P.,Kalinina A.,107.0,55.0,701.0,1030.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.91,1.91,2.07,1.85,2.07,1.95,1.93,1.85
2,Brisbane,Brisbane International,2025-01-04,WTA500,Outdoor,Hard,Semifinals,3,Sabalenka A.,Andreeva M.,1.0,16.0,9416.0,2578.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.36,3.2,1.4,3.24,1.4,3.5,1.35,3.17
2,Brisbane,Brisbane International,2025-01-05,WTA500,Outdoor,Hard,The Final,3,Sabalenka A.,Kudermetova P.,1.0,107.0,9416.0,701.0,4.0,6.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,1.06,10.0,1.07,12.14,1.08,12.14,1.06,9.33
3,Adelaide,Adelaide International,2025-01-06,WTA500,Outdoor,Hard,1st Round,3,Putintseva Y.,Vekic D.,25.0,19.0,1894.0,2228.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.67,2.2,1.73,2.19,1.73,2.22,1.68,2.15
3,Adelaide,Adelaide International,2025-01-06,WTA500,Outdoor,Hard,1st Round,3,Jones E.,Wang Xin.,371.0,37.0,163.0,1418.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,5.0,1.17,5.7,1.17,5.7,1.18,5.21,1.16
3,Adelaide,Adelaide International,2025-01-06,WTA500,Outdoor,Hard,1st Round,3,Alexandrova E.,Fernandez L.A.,27.0,31.0,1848.0,1755.0,6.0,4.0,3.0,6.0,6.0,2.0,2.0,1.0,Completed,3.4,1.33,3.27,1.37,3.4,1.37,3.22,1.34
3,Adelaide,Adelaide International,2025-01-06,WTA500,Outdoor,Hard,1st Round,3,Kasatkina D.,Gadecki O.,9.0,106.0,3368.0,725.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.29,3.75,1.32,3.63,1.33,4.5,1.28,3.59
3,Adelaide,Adelaide International,2025-01-06,WTA500,Outdoor,Hard,1st Round,3,Vondrousova M.,Pavlyuchenkova A.,39.0,28.0,1343.0,1807.0,6.0,4.0,6.0,7.0,6.0,2.0,2.0,1.0,Completed,1.8,2.0,1.85,2.03,1.85,2.03,1.81,1.98
3,Adelaide,Adelaide International,2025-01-06,WTA500,Outdoor,Hard,1st Round,3,Badosa P.,Stearns P.,12.0,47.0,2908.0,1171.0,6.0,7.0,6.0,3.0,7.0,5.0,2.0,1.0,Completed,1.53,2.5,1.52,2.65,1.54,2.69,1.51,2.53
3,Adelaide,Adelaide International,2025-01-07,WTA500,Outdoor,Hard,1st Round,3,Keys M.,Haddad Maia B.,20.0,16.0,2180.0,2554.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.44,2.75,1.48,2.8,1.48,2.9,1.44,2.75
3,Adelaide,Adelaide International,2025-01-07,WTA500,Outdoor,Hard,1st Round,3,Sakkari M.,Noskova L.,32.0,30.0,1654.0,1778.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,2.63,1.5,2.52,1.57,2.63,1.58,2.53,1.51
3,Adelaide,Adelaide International,2025-01-07,WTA500,Outdoor,Hard,1st Round,3,Samsonova L.,Bouzkova M.,26.0,42.0,1885.0,1262.0,1.0,6.0,6.0,4.0,6.0,1.0,2.0,1.0,Completed,2.2,1.67,2.05,1.83,2.22,1.83,2.11,1.72
3,Adelaide,Adelaide International,2025-01-07,WTA500,Outdoor,Hard,1st Round,3,Ostapenko J.,Frech M.,17.0,24.0,2481.0,1928.0,4.0,6.0,6.0,1.0,6.0,1.0,2.0,1.0,Completed,1.67,2.2,1.72,2.21,1.78,2.22,1.7,2.14
3,Adelaide,Adelaide International,2025-01-07,WTA500,Outdoor,Hard,1st Round,3,Shnaider D.,Siniakova K.,13.0,46.0,2895.0,1177.0,6.0,3.0,0.0,6.0,6.0,0.0,2.0,1.0,Completed,1.5,2.63,1.51,2.68,1.54,2.68,1.5,2.57
3,Adelaide,Adelaide International,2025-01-07,WTA500,Outdoor,Hard,1st Round,3,Krueger A.,Kostyuk M.,54.0,18.0,1050.0,2471.0,4.0,6.0,6.0,2.0,6.0,2.0,2.0,1.0,Completed,2.0,1.8,2.06,1.83,2.1,1.9,1.99,1.81
3,Adelaide,Adelaide International,2025-01-07,WTA500,Outdoor,Hard,1st Round,3,Bencic B.,Kalinskaya A.,421.0,14.0,138.0,2721.0,6.0,2.0,1.0,0.0,,,1.0,0.0,Retired,1.53,2.5,1.67,2.3,1.67,2.5,1.6,2.32
3,Adelaide,Adelaide International,2025-01-07,WTA500,Outdoor,Hard,1st Round,3,Jabeur O.,Collins D.,40.0,11.0,1334.0,3147.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.73,2.1,1.8,2.09,1.81,2.15,1.76,2.06
3,Adelaide,Adelaide International,2025-01-08,WTA500,Outdoor,Hard,2nd Round,3,Navarro E.,Alexandrova E.,8.0,27.0,3551.0,1848.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,1.57,2.38,1.68,2.3,1.68,2.5,1.61,2.3
3,Adelaide,Adelaide International,2025-01-08,WTA500,Outdoor,Hard,2nd Round,3,Pegula J.,Sakkari M.,7.0,32.0,4671.0,1654.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.62,2.3,1.64,2.38,1.67,2.38,1.61,2.3
3,Adelaide,Adelaide International,2025-01-08,WTA500,Outdoor,Hard,2nd Round,3,Samsonova L.,Bencic B.,26.0,421.0,1885.0,138.0,7.0,6.0,4.0,6.0,6.0,4.0,2.0,1.0,Completed,2.63,1.5,2.64,1.54,2.64,1.57,2.49,1.53
3,Adelaide,Adelaide International,2025-01-08,WTA500,Outdoor,Hard,2nd Round,3,Krueger A.,Badosa P.,54.0,12.0,1050.0,2908.0,7.0,6.0,6.0,7.0,6.0,2.0,2.0,1.0,Completed,2.75,1.44,2.89,1.46,2.89,1.5,2.67,1.47
3,Adelaide,Adelaide International,2025-01-08,WTA500,Outdoor,Hard,2nd Round,3,Shnaider D.,Vondrousova M.,13.0,39.0,2895.0,1343.0,4.0,6.0,1.0,1.0,,,0.0,1.0,Retired,1.62,2.3,1.69,2.28,1.73,2.32,1.66,2.21
